pm25_truth_1h,pm25_predict_1h,predicted
8.454545455,9.560438,9.77879525
9.363636364,10.145136,16.85060913
9.181818182,11.070649,20.2515135
10.4,10.977264,22.2772266
10.63636364,11.925325,21.3579652
12,12.186426,16.86103834
16,13.28827,10.365857
28.63636364,16.715254,10.5547478
42.54545455,29.600697,22.4600995
50.36363636,47.51244,31.08487717
49.45454545,52.794262,33.04768264
54.18181818,48.23486,43.9585952
65.81818182,52.761055,72.80169379
86.45454545,67.505974,106.3152165
139.1818182,93.99637,143.8755942
225.2727273,156.34042,213.1936329
289.5454545,257.1022,295.520399
282.2727273,318.87726,286.6263291
252.7272727,279.29126,247.1908309
204.7272727,227.06294,241.3881975
244.9090909,172.29019,249.4681452
270.1818182,243.22562,257.5177375
225.5454545,282.17685,232.9596916
145.2727273,211.803,159.3201574
112,94.57286,112.2677052
89,81.4869,83.23155385
46.18181818,78.52674,50.79482645
17.54545455,33.095833,29.70293617
14.36363636,15.710984,12.8697857
13.3,13.477094,18.28320584
16.09090909,14.448101,18.48370086
13.36363636,17.218172,4.78516062
10.81818182,14.87659,3.0347619
11.72727273,12.185123,5.68959052
11.36363636,12.815941,3.37067635
12,12.76661,3.01003769
15.45454545,13.288533,10.57882098
19.36363636,16.227104,14.28184559
20.09090909,19.699234,19.24269562
33.4,20.352423,24.65087332
40,35.4362,38.3821439
52.27272727,43.41266,48.08493436
61.72727273,54.58442,55.45669216
82.27272727,64.29662,72.94705957
79.81818182,89.381256,85.79311998
86.09090909,80.33847,82.03339358
74.81818182,85.23758,74.3560169
67.90909091,69.15372,67.60018264
71.90909091,60.915222,64.22543002
71.72727273,69.88128,68.23585968
77.27272727,71.08256,72.98406737
82.27272727,78.13532,73.284846
88.09090909,83.70504,79.76876526
95.36363636,89.72094,86.39304108
92.54545455,97.34317,88.40229999
98.27272727,90.79883,88.38595458
100.9090909,97.759514,90.8604639
91.90909091,100.825195,89.08802552
87.72727273,86.31139,83.28461588
87.09090909,81.60266,79.2957597
89,83.6034,82.6516916
99,88.07022,90.78126222
101.0909091,101.52241,96.55966556
105.7272727,102.39427,99.21333349
105.7272727,105.99606,101.3820065
108.0909091,104.55925,103.9426347
108.7272727,106.83028,106.5827303
110.6363636,107.37052,108.614447
111.9090909,109.50225,108.0049169
113,110.80251,109.6710087
112,111.74085,109.1453263
112.7272727,110.07799,107.7602437
109.5454545,110.96075,106.8039031
110.4545455,107.004486,104.5661353
114.2727273,108.562675,106.2612844
118.2727273,113.89648,113.9984414
123.1818182,118.46401,118.5695007
126.7272727,123.429146,118.5695196
125.7272727,126.38513,119.0705172
125.6,123.61037,122.3231729
127.0909091,122.883316,122.2155275
126.9090909,125.06266,120.4412005
121.0909091,124.879395,120.9986387
120.2727273,117.26914,122.0527926
120.4545455,117.03972,123.621528
131.1818182,118.492096,126.9450921
141.1,132.61794,130.7805499
146.4545455,143.79422,136.3599363
147.4,147.18115,145.2965813
159.5454545,145.31807,148.4869647
139.5454545,159.69447,145.0108314
118.8181818,132.06696,125.3656762
109.8181818,104.87298,106.930747
101.5454545,100.55675,99.71038066
103.8181818,96.051125,105.7693872
108.5454545,103.177574,105.5589774
105.7,110.152405,103.712975
112.7272727,105.152626,104.6152768
119,113.01709,112.5818889
127.0909091,120.17786,124.7478546
127.1818182,128.53476,129.368839
133.6363636,126.13136,131.1768584
141.8181818,132.8066,143.2587921
153.5454545,142.34343,154.9109078
163.3636364,155.41762,162.421222
174.1,164.88095,171.2526272
177.6363636,175.06789,177.6314711
181.9090909,176.064,182.3109319
184.8181818,179.12833,183.9949859
176,181.71696,182.2646259
156.9090909,169.3642,166.6685253
151.9090909,145.6528,154.4774978
151.4545455,143.9581,156.17466
156.9090909,148.20244,162.9869232
157.3636364,156.84097,160.0143794
158.4545455,156.39243,158.5570302
122.8181818,156.22478,141.9019862
89.18181818,107.27539,101.0855472
60.45454545,67.55274,68.46514111
39.45454545,41.349537,49.37601578
22.54545455,30.469273,36.22431294
12.45454545,21.165876,27.7895287
9.5,12.854352,21.44990578
9.181818182,10.7615185,16.39712651
11.36363636,10.944206,13.4018905
9.909090909,12.929152,16.65757304
28.18181818,11.771538,24.47814347
15.4,28.566996,30.10854791
16.3,17.248789,25.09163077
22.90909091,16.218609,24.2068539
21.27272727,22.196423,28.80077446
28.72727273,21.4915,37.44715778
38.27272727,28.634054,41.49523154
41,41.73475,45.67009583
52.27272727,43.11545,53.03586228
55.72727273,53.722267,63.1602427
59.72727273,56.20865,62.56775289
59.09090909,59.140003,57.7533368
54.72727273,56.980766,53.2845337
40.90909091,50.51122,44.11151459
31.54545455,33.86873,30.96160146
22.27272727,27.812263,25.92962503
22.09090909,21.105347,27.74322572
28,21.18774,31.90084628
39.4,27.723606,40.04638932
43.81818182,43.754044,50.01902403
60.81818182,46.599316,57.96329632
57.09090909,64.35972,66.43881966
55.4,56.11908,59.90485912
47.63636364,51.347446,49.7517067
51.72727273,43.16714,52.7142483
53.54545455,49.86976,52.4813219
41.1,53.394806,47.36674653
34.36363636,36.122604,40.20941139
30.45454545,30.466278,35.51615789
31,28.381935,32.57185069
25.36363636,30.422508,26.65977654
16.6,24.602009,20.64157765
11.27272727,16.817326,17.85090737
10.54545455,12.016832,16.51219762
13.36363636,11.645505,14.77473585
9.181818182,14.431691,13.81257246
10,11.188033,12.02528509
8.818181818,11.399669,9.56992493
6.181818182,10.58201,9.01221268
8.545454545,8.32423,9.105484383
7.636363636,10.196964,9.46956675
10.09090909,9.738794,10.75477483
8.090909091,11.664256,11.80883343
12.09090909,10.127138,13.58113395
15.77777778,13.241356,16.25718008
19.18181818,16.667881,19.46669941
20.3,19.600622,23.18445277
26.8,20.474768,26.79215442
22.8,26.075966,28.2346478
18.7,22.690163,23.89268388
17.3,18.626461,19.47423803
21.5,17.308685,19.01612398
22.6,21.109568,23.46697604
24.36363636,22.491417,26.46972925
23.54545455,23.824389,24.72956677
25.45454545,23.0573,24.84777766
24.45454545,24.494534,25.18371159
28.81818182,23.800503,27.10260972
28.27272727,28.368206,29.97539283
25.81818182,27.795565,29.51966221
27.72727273,24.85921,28.80089975
29.45454545,26.582079,28.61029428
25.72727273,29.271978,27.66017049
25.27272727,24.92462,24.7894489
21,24.172123,23.90450586
22.81818182,20.698692,25.07023875
19.36363636,22.082947,24.0070204
20.63636364,19.531578,26.29386416
27.7,20.359465,30.32487028
39.81818182,27.274788,34.13730228
43.45454545,43.93221,35.86219687
39.81818182,45.944332,34.67957
31.3,37.617058,30.63765014
16.36363636,28.407564,24.06998076
12.54545455,16.093586,14.69709997
11.9,12.608347,2.70278985
5.818181818,12.866547,-2.99617415
5.636363636,8.18744,5.7177177
49.36363636,7.670016,25.24570356
64.90909091,55.54889,48.89314996
52.5,78.5486,58.1221549
46.63636364,48.30872,53.09688803
37.36363636,39.466496,42.54638905
35,31.579878,35.4199975
29.54545455,32.240547,23.8648563
28.09090909,28.158205,21.5052757
25.18181818,26.890156,22.97094636
22.36363636,24.255648,24.79214463
24.8,21.824202,22.23920609
21.27272727,23.857096,16.95156789
16.81818182,21.211372,17.3543897
20.90909091,17.12619,17.03427833
16.18181818,20.423527,16.7304145
20,16.998882,16.86745576
24,19.786888,20.94110114
27.7,23.559948,26.17774726
32.3,27.505283,29.89304625
31.63636364,33.012794,28.71479105
34.72727273,31.553822,28.32025043
30.81818182,34.421654,28.72151577
26.45454545,29.893805,24.41230509
22.90909091,25.109503,20.0186134
21.09090909,22.032919,16.68379214
19.4,20.620111,15.6274764
21,19.372149,17.02224047
23.81818182,20.766537,18.36341345
26.27272727,23.338484,20.37169532
28.36363636,25.690535,22.26033386
29.27272727,28.003975,23.81280823
30,28.961348,25.08865514
32,29.532015,25.39526131
33.45454545,31.906116,27.42114616
40.54545455,33.395958,32.41790573
42.1,42.66603,38.97349608
45.45454545,43.495113,42.25343358
51.81818182,46.208027,45.24782174
58,52.31332,51.21644685
67.09090909,58.954353,59.68780588
76.18181818,68.66758,67.51437173
84.36363636,79.567,75.88294604
91.45454545,87.19009,84.85670982
98.36363636,93.572365,91.8602505
104.6363636,99.854034,95.32610149
106.7272727,105.56506,96.09163648
105.1818182,106.195076,94.46546615
102.0909091,102.84943,92.34000277
97,98.55095,92.8943719
101.8181818,92.35177,93.15952588
102.3636364,100.99637,93.72059287
100,102.18902,93.31808596
94.3,98.11853,92.48157383
92.63636364,89.64997,92.82363348
98,88.915985,93.72503775
100.7272727,98.214516,95.01405544
103.0909091,101.50474,97.44666922
106.8,103.14255,101.3813487
110.2727273,106.71652,108.1402105
118.9090909,110.12467,116.1962912
132.0909091,120.04355,123.6176729
135.1818182,135.13464,130.4830146
140.1818182,135.7064,134.2420499
138.3636364,139.09381,133.1782702
141.7272727,135.23232,132.8790851
143.0909091,139.22195,132.4065373
142.1818182,141.03099,133.4158238
138.9090909,139.39189,134.281578
140.1818182,135.05893,134.776209
147.8181818,137.37613,140.0918355
153.7272727,147.77176,146.9815598
157.9090909,154.21298,152.040644
163.3636364,157.22562,154.5023276
163.6363636,162.25027,157.7812286
167.8181818,160.92966,165.3494506
176.6363636,165.38647,172.0159191
190.2727273,176.22827,179.4774528
205.9090909,192.1069,188.7055408
217.8181818,208.76335,199.9702684
217.3636364,219.11403,214.2393969
224.7272727,213.34456,218.8610106
218.3,220.77979,205.2936438
173.5454545,211.49419,179.662472
157.7,153.26675,158.6798687
155.8,141.41441,147.2958255
160.7,150.3589,147.9068042
163.6,161.46439,148.2449018
165.7272727,164.42805,149.2129933
166.0909091,164.74971,155.1369944
161,163.46756,158.9263775
159.5454545,156.08041,155.3030239
154.0909091,154.89671,147.4211827
145.2727273,149.13185,140.262028
139.5454545,139.08762,136.7169369
135.6363636,134.00789,126.4673574
122.1818182,131.53247,117.0242678
104.7272727,116.009315,103.9470916
91.63636364,93.925186,93.9008966
85.27272727,81.85079,86.9798341
86.09090909,79.73919,84.77831668
86.36363636,84.663124,89.5022647
92.45454545,86.06722,92.2937534
98.81818182,94.165665,94.3644936
99.63636364,100.96146,96.6388452
96.36363636,99.74544,100.6455825
98.63636364,93.274216,102.9922353
107.1818182,96.811165,100.7350316
104.7272727,108.40956,100.6097056
105.7272727,104.03385,104.6243118
109.4545455,104.03434,112.5988625
111.9090909,108.79401,121.8854825
117.6363636,111.501114,130.0604416
123.0909091,117.89354,138.1882914
126,123.57035,141.2893898
128.0909091,125.49915,136.8473953
122.1818182,126.66542,117.854565
75.36363636,118.22739,79.86779952
26.90909091,50.79217,42.27564484
11,18.860859,20.1943076
8.909090909,8.728029,11.9319758
9.181818182,9.651907,6.1887554
8.818181818,11.418663,1.2075864
8.363636364,11.167306,2.0774628
8.545454545,10.396858,6.63507074
6.909090909,10.359827,10.4755002
5.636363636,8.99502,12.11931266
6.545454545,7.818736,13.4914036
9.181818182,8.586298,11.97578322
6.909090909,10.964634,10.75837442
8.818181818,9.192678,11.28075113
10.18181818,10.479213,9.48223482
13.54545455,11.811368,13.78397181
8,14.683277,14.09461913
7.25,10.119717,7.54646009
7.9,8.921318,7.23674814
9.909090909,9.664534,10.37464168
14.09090909,11.574411,14.73977398
20.2,15.212,18.10994845
25.3,20.483078,20.45377281
30,24.993814,22.84164885
31.63636364,30.702173,25.3571883
33.18181818,31.827333,29.60369292
35.81818182,32.837128,35.02914814
39.18181818,35.486454,40.46666846
46.63636364,39.833347,48.00359604
60,48.156807,57.18980526
70.54545455,62.939198,65.82724619
77.90909091,75.06732,71.5289521
73.63636364,80.907486,73.34895837
69.72727273,70.82519,70.11805664
67.45454545,64.86463,64.13019019
62.18181818,63.590984,59.92996609
56.27272727,58.365025,57.38934906
57.72727273,51.46348,55.85031285
57.54545455,56.00187,57.22308939
61.18181818,56.618565,60.57688683
63.6,61.144043,63.77162556
69.45454545,63.593197,68.82871227
74.81818182,69.67043,73.18709524
78.81818182,76.01155,76.81667606
78.27272727,79.53177,79.7957362
80.54545455,76.5494,82.88999992
85.27272727,78.94291,86.64282043
89.63636364,85.28339,89.56979186
91.18181818,90.46063,95.70375562
100.1818182,90.83143,105.2584133
116.1818182,101.64452,116.9201313
132.9090909,120.51344,129.3658601
140.1818182,138.30547,138.6401727
142.8181818,142.2105,147.2100636
147.0909091,141.09619,153.0779167
156.3636364,144.73004,155.7394347
158.4545455,156.01138,152.4737297
154.0909091,157.0645,150.0593863
148.7272727,149.5865,149.2260483
142.1818182,142.83679,148.3610493
140.5454545,136.2345,147.4174198
139.3636364,136.48611,145.3205993
143.7272727,136.65527,148.1122743
156.7272727,142.85986,158.5831426
173.3636364,159.05498,170.9090362
183.7272727,177.74728,181.1345269
186.7272727,185.99683,187.0042381
189.9090909,184.69812,188.5161734
194.4545455,186.14778,192.1354976
198.1818182,191.27403,197.5311766
201.7272727,195.35768,201.6355038
205.7272727,198.85324,204.6872896
199.3636364,202.91862,207.1039011
195.4545455,193.34167,205.05798
198.3636364,188.5753,199.8953157
208.1818182,194.30766,197.5597057
204.8181818,207.85806,207.946632
207.1818182,201.39445,213.5585953
190.6363636,202.88188,185.5443564
141.1818182,181.1351,135.2805717
68.72727273,116.398254,86.8474731
29.45454545,32.085976,54.17832789
51.2,19.814648,40.85221408
19.1,54.21967,32.0734322
26.4,21.53221,38.6857195
98.36363636,24.588871,74.87698656
121.2727273,121.44776,108.7683019
89.27272727,141.09193,111.0601867
77.18181818,77.97691,95.90145955
64.09090909,59.47803,71.44495375
54.81818182,51.500954,76.34704497
56.09090909,48.209496,71.5522315
51,55.006496,55.4725079
